Tournament,Date,Team_Name,Weight_Class,Player_Name,Opponent_Name,Match_Day_Order,Match_ID,Period,Clock,Position,Player_Move,Type,Side,Player_Success,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total,Win_Loss,URL
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:51,Neutral,Single Leg,Whistle,Left,1,2,0,Takedown,8,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:44,Partare,Leg Lace,Initial,Right,0,0,0,None,8,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:30,Partare,Force Caution,Caution,None,1,1,0,Caution,9,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:28,Partare,Leg Lace,Initial,Right,0,0,0,None,9,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:07,Neutral,Single Leg,Initial,Left,0,0,0,None,9,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:05,Neutral,Outside Leg Trip Defense,Reattack,Right,1,0,0,None,9,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,1:00,Neutral,Single Leg Defense,Reattack,Left,0,0,2,Takedown,9,4,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,0:22,Neutral,Single Leg,Initial,Right,1,2,0,Takedown,11,4,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,0:16,Partare,Leg Lace,Initial,Right,0,0,0,None,11,4,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,0:04,Neutral,High Crotch,Initial,Left,0,0,0,None,11,4,1,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,5:36,Neutral,Single Leg,Initial,Left,0,0,0,None,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,5:28,Neutral,Single Leg Defense,Initial,Left,1,0,0,None,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,5:20,Neutral,Under Hook Defense,Initial,Left,0,0,1,Step Out,0,1,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,5:07,Neutral,Double Leg Defense,Initial,Center,1,0,0,None,0,1,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,5:05,Neutral,Headlock Defense,Reattack,Right,1,2,0,Takedown,2,1,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:58,Partare,Leg Lace,Initial,Right,0,0,0,None,2,1,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:36,Neutral,Double Leg Defense,Initial,Center,0,0,2,Takedown,2,3,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:24,Partare,Leg Lace Defense,Initial,Right,1,0,0,None,2,3,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:04,Neutral,Sit Out Defense,Initial,Right,1,0,0,None,2,3,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:02,Neutral,Single Leg,Reattack,Left,0,0,0,None,2,3,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,4:01,Neutral,Hip Toss Defense,Reattack,Left,0,0,4,Feet to back,2,7,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,3:43,Neutral,High Crotch,Initial,Right,0,0,2,Takedown,2,9,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,3:27,Partare,Gut Wrench Defense,Initial,Left,0,0,2,Exposure,2,11,0,Unknown
Budapest Ranking Tournament,7/14/23,Mongolia,53,Dominique Parrish,Bolortuya Ochir,4,8,1,3:20,Partare,Gut Wrench,Chain,Right,0,0,2,Exposure,2,13,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,5:45,Neutral,Front Headlock,Initial,Center,0,0,0,None,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,5:14,Neutral,Single Leg Defense,Initial,Right,1,0,0,None,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,4:52,Neutral,High Crotch,Initial,Right,0,0,0,None,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,4:25,Neutral,High Crotch,Initial,Right,0,0,0,Exposure,0,0,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,4:20,Neutral,Front Head Pinch Defense,Reattack,Left,0,0,2,Exposure,0,2,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,3:39,Partare,Leg Ride Defense ,Initial,Right,1,0,0,None,0,2,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,3:35,Neutral,Single Leg Defense,Initial,Right,1,0,0,None,0,2,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,1,3:34,Neutral,Front Headlock,Reattack,Center,0,0,0,None,0,2,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,2:34,Neutral,Single Leg,Initial,Left,0,0,0,None,0,2,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,2:26,Neutral,Cradle Defense,Reattack,Right,0,0,2,Takedown,0,4,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,2:20,Partare,Cradle Defense,Chain,Right,0,0,2,Exposure,0,6,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,0:53,Neutral,High Crotch,Initial,Right,0,0,0,None,0,6,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,0:32,Neutral,Go-Behind Defense,Reattack,Right,0,0,2,Takedown,0,8,0,Unknown
Budapest Ranking Tournament,7/14/23,Canada,53,Dominique Parrish,Diana Weicker,5,9,2,0:22,Partare,Chicken Wing Defense,Partare,Right,0,0,2,Exposure,0,10,0,Unknown
